Indicator,Time Period,Parent Code,Parent Name,Area Code,Area Name,Value,Lower CI,Upper CI,Count,Denominator,Sex,Age,Note
Under 18 conceptions,2002,,,E12000001,North East region,51.23,49.27,53.26,2554.00,49849.00,Female,<18 yrs,
Under 18 conceptions,2002,,,E12000002,North West region,45.40,44.27,46.56,6126.00,134922.00,Female,<18 yrs,
Under 18 conceptions,2002,,,E12000003,Yorkshire and the Humber region,47.21,45.84,48.60,4529.00,95942.00,Female,<18 yrs,
Under 18 conceptions,2002,,,E12000004,East Midlands region,40.65,39.25,42.09,3177.00,78158.00,Female,<18 yrs,
Under 18 conceptions,2002,,,E12000005,West Midlands region,47.01,45.69,48.35,4842.00,103004.00,Female,<18 yrs,
Under 18 conceptions,2002,,,E12000006,East of England region,34.61,33.46,35.79,3424.00,98924.00,Female,<18 yrs,
Under 18 conceptions,2002,,,E12000007,London region,52.14,50.89,53.43,6512.00,124884.00,Female,<18 yrs,
Under 18 conceptions,2002,,,E12000008,South East region,34.57,33.62,35.54,5030.00,145501.00,Female,<18 yrs,
Under 18 conceptions,2002,,,E12000009,South West region,35.44,34.21,36.70,3156.00,89058.00,Female,<18 yrs,
Under 18 conceptions,2003,,,E12000001,North East region,52.44,50.45,54.49,2613.00,49827.00,Female,<18 yrs,
Under 18 conceptions,2003,,,E12000002,North West region,45.21,44.09,46.35,6159.00,136232.00,Female,<18 yrs,
Under 18 conceptions,2003,,,E12000003,Yorkshire and the Humber region,47.06,45.71,48.44,4589.00,97513.00,Female,<18 yrs,
Under 18 conceptions,2003,,,E12000004,East Midlands region,41.53,40.13,42.97,3320.00,79942.00,Female,<18 yrs,
Under 18 conceptions,2003,,,E12000005,West Midlands region,47.37,46.06,48.71,4960.00,104708.00,Female,<18 yrs,
Under 18 conceptions,2003,,,E12000006,East of England region,33.09,31.98,34.23,3374.00,101959.00,Female,<18 yrs,
Under 18 conceptions,2003,,,E12000007,London region,50.31,49.09,51.55,6467.00,128540.00,Female,<18 yrs,
Under 18 conceptions,2003,,,E12000008,South East region,33.17,32.25,34.11,4932.00,148692.00,Female,<18 yrs,
Under 18 conceptions,2003,,,E12000009,South West region,34.24,33.05,35.46,3139.00,91678.00,Female,<18 yrs,
Under 18 conceptions,2004,,,E12000001,North East region,51.19,49.21,53.23,2515.00,49133.00,Female,<18 yrs,
Under 18 conceptions,2004,,,E12000002,North West region,45.99,44.86,47.14,6268.00,136294.00,Female,<18 yrs,
Under 18 conceptions,2004,,,E12000003,Yorkshire and the Humber region,48.09,46.73,49.49,4698.00,97687.00,Female,<18 yrs,
Under 18 conceptions,2004,,,E12000004,East Midlands region,41.41,40.02,42.83,3368.00,81331.00,Female,<18 yrs,
Under 18 conceptions,2004,,,E12000005,West Midlands region,45.23,43.96,46.53,4795.00,106009.00,Female,<18 yrs,
Under 18 conceptions,2004,,,E12000006,East of England region,32.42,31.33,33.53,3392.00,104641.00,Female,<18 yrs,
Under 18 conceptions,2004,,,E12000007,London region,47.48,46.31,48.67,6235.00,131325.00,Female,<18 yrs,
Under 18 conceptions,2004,,,E12000008,South East region,33.47,32.56,34.40,5088.00,152008.00,Female,<18 yrs,
Under 18 conceptions,2004,,,E12000009,South West region,34.62,33.43,35.83,3234.00,93423.00,Female,<18 yrs,
Under 18 conceptions,2005,,,E12000001,North East region,50.53,48.55,52.57,2458.00,48644.00,Female,<18 yrs,
Under 18 conceptions,2005,,,E12000002,North West region,46.90,45.76,48.07,6416.00,136792.00,Female,<18 yrs,
Under 18 conceptions,2005,,,E12000003,Yorkshire and the Humber region,48.91,47.53,50.32,4779.00,97710.00,Female,<18 yrs,
Under 18 conceptions,2005,,,E12000004,East Midlands region,40.88,39.51,42.28,3373.00,82516.00,Female,<18 yrs,
Under 18 conceptions,2005,,,E12000005,West Midlands region,45.71,44.43,47.01,4871.00,106566.00,Female,<18 yrs,
Under 18 conceptions,2005,,,E12000006,East of England region,32.45,31.37,33.55,3441.00,106050.00,Female,<18 yrs,
Under 18 conceptions,2005,,,E12000007,London region,44.16,43.04,45.30,5863.00,132768.00,Female,<18 yrs,
Under 18 conceptions,2005,,,E12000008,South East region,34.35,33.43,35.29,5323.00,154956.00,Female,<18 yrs,
Under 18 conceptions,2005,,,E12000009,South West region,34.59,33.41,35.79,3280.00,94837.00,Female,<18 yrs,
Under 18 conceptions,2006,,,E12000001,North East region,49.05,47.10,51.06,2385.00,48620.00,Female,<18 yrs,
Under 18 conceptions,2006,,,E12000002,North West region,44.20,43.10,45.33,6082.00,137601.00,Female,<18 yrs,
Under 18 conceptions,2006,,,E12000003,Yorkshire and the Humber region,47.98,46.62,49.37,4692.00,97788.00,Female,<18 yrs,
Under 18 conceptions,2006,,,E12000004,East Midlands region,40.29,38.94,41.68,3369.00,83616.00,Female,<18 yrs,
Under 18 conceptions,2006,,,E12000005,West Midlands region,46.30,45.02,47.60,4993.00,107848.00,Female,<18 yrs,
Under 18 conceptions,2006,,,E12000006,East of England region,33.08,32.00,34.19,3529.00,106685.00,Female,<18 yrs,
Under 18 conceptions,2006,,,E12000007,London region,43.26,42.14,44.39,5709.00,131982.00,Female,<18 yrs,
Under 18 conceptions,2006,,,E12000008,South East region,33.37,32.47,34.28,5219.00,156412.00,Female,<18 yrs,
Under 18 conceptions,2006,,,E12000009,South West region,33.76,32.60,34.95,3192.00,94549.00,Female,<18 yrs,
Under 18 conceptions,2007,,,E12000001,North East region,52.80,50.79,54.86,2614.00,49511.00,Female,<18 yrs,
Under 18 conceptions,2007,,,E12000002,North West region,46.60,45.48,47.75,6487.00,139198.00,Female,<18 yrs,
Under 18 conceptions,2007,,,E12000003,Yorkshire and the Humber region,48.33,46.97,49.71,4798.00,99286.00,Female,<18 yrs,
Under 18 conceptions,2007,,,E12000004,East Midlands region,40.65,39.30,42.03,3444.00,84729.00,Female,<18 yrs,
Under 18 conceptions,2007,,,E12000005,West Midlands region,46.57,45.30,47.87,5087.00,109227.00,Female,<18 yrs,
Under 18 conceptions,2007,,,E12000006,East of England region,32.98,31.90,34.08,3534.00,107163.00,Female,<18 yrs,
Under 18 conceptions,2007,,,E12000007,London region,42.58,41.48,43.70,5691.00,133642.00,Female,<18 yrs,
Under 18 conceptions,2007,,,E12000008,South East region,33.00,32.11,33.91,5211.00,157908.00,Female,<18 yrs,
Under 18 conceptions,2007,,,E12000009,South West region,36.92,35.70,38.16,3500.00,94807.00,Female,<18 yrs,
Under 18 conceptions,2008,,,E12000001,North East region,47.99,46.08,49.95,2391.00,49825.00,Female,<18 yrs,
Under 18 conceptions,2008,,,E12000002,North West region,44.81,43.70,45.94,6199.00,138348.00,Female,<18 yrs,
Under 18 conceptions,2008,,,E12000003,Yorkshire and the Humber region,47.13,45.80,48.50,4700.00,99716.00,Female,<18 yrs,
Under 18 conceptions,2008,,,E12000004,East Midlands region,39.40,38.08,40.76,3330.00,84513.00,Female,<18 yrs,
Under 18 conceptions,2008,,,E12000005,West Midlands region,43.24,42.01,44.49,4723.00,109230.00,Female,<18 yrs,
Under 18 conceptions,2008,,,E12000006,East of England region,31.14,30.09,32.21,3355.00,107743.00,Female,<18 yrs,
Under 18 conceptions,2008,,,E12000007,London region,40.83,39.76,41.92,5514.00,135046.00,Female,<18 yrs,
Under 18 conceptions,2008,,,E12000008,South East region,32.97,32.09,33.88,5224.00,158427.00,Female,<18 yrs,
Under 18 conceptions,2008,,,E12000009,South West region,35.29,34.10,36.50,3347.00,94848.00,Female,<18 yrs,
Under 18 conceptions,2009,,,E12000001,North East region,45.70,43.82,47.64,2225.00,48683.00,Female,<18 yrs,
Under 18 conceptions,2009,,,E12000002,North West region,42.58,41.48,43.70,5727.00,134504.00,Female,<18 yrs,
Under 18 conceptions,2009,,,E12000003,Yorkshire and the Humber region,43.49,42.19,44.81,4288.00,98606.00,Female,<18 yrs,
Under 18 conceptions,2009,,,E12000004,East Midlands region,36.76,35.48,38.08,3086.00,83943.00,Female,<18 yrs,
Under 18 conceptions,2009,,,E12000005,West Midlands region,42.12,40.90,43.36,4552.00,108082.00,Female,<18 yrs,
Under 18 conceptions,2009,,,E12000006,East of England region,30.75,29.71,31.81,3308.00,107588.00,Female,<18 yrs,
Under 18 conceptions,2009,,,E12000007,London region,36.75,35.73,37.78,4977.00,135434.00,Female,<18 yrs,
Under 18 conceptions,2009,,,E12000008,South East region,29.93,29.08,30.80,4726.00,157896.00,Female,<18 yrs,
Under 18 conceptions,2009,,,E12000009,South West region,32.62,31.47,33.79,3077.00,94342.00,Female,<18 yrs,
Under 18 conceptions,2010,,,E12000001,North East region,43.52,41.65,45.45,2032.00,46694.00,Female,<18 yrs,
Under 18 conceptions,2010,,,E12000002,North West region,39.59,38.52,40.69,5129.00,129537.00,Female,<18 yrs,
Under 18 conceptions,2010,,,E12000003,Yorkshire and the Humber region,39.92,38.66,41.20,3823.00,95776.00,Female,<18 yrs,
Under 18 conceptions,2010,,,E12000004,East Midlands region,33.40,32.17,34.67,2762.00,82691.00,Female,<18 yrs,
Under 18 conceptions,2010,,,E12000005,West Midlands region,38.52,37.35,39.72,4081.00,105949.00,Female,<18 yrs,
Under 18 conceptions,2010,,,E12000006,East of England region,29.08,28.07,30.12,3114.00,107080.00,Female,<18 yrs,
Under 18 conceptions,2010,,,E12000007,London region,32.83,31.87,33.81,4414.00,134444.00,Female,<18 yrs,
Under 18 conceptions,2010,,,E12000008,South East region,27.98,27.15,28.82,4384.00,156702.00,Female,<18 yrs,
Under 18 conceptions,2010,,,E12000009,South West region,30.02,28.92,31.15,2813.00,93714.00,Female,<18 yrs,
Under 18 conceptions,2011,,,E12000001,North East region,38.38,36.60,40.22,1750.00,45599.00,Female,<18 yrs,
Under 18 conceptions,2011,,,E12000002,North West region,35.34,34.32,36.39,4516.00,127781.00,Female,<18 yrs,
Under 18 conceptions,2011,,,E12000003,Yorkshire and the Humber region,33.84,32.68,35.03,3231.00,95480.00,Female,<18 yrs,
Under 18 conceptions,2011,,,E12000004,East Midlands region,31.33,30.13,32.56,2579.00,82329.00,Female,<18 yrs,
Under 18 conceptions,2011,,,E12000005,West Midlands region,34.92,33.80,36.06,3701.00,105996.00,Female,<18 yrs,
Under 18 conceptions,2011,,,E12000006,East of England region,26.60,25.64,27.60,2860.00,107500.00,Female,<18 yrs,
Under 18 conceptions,2011,,,E12000007,London region,28.74,27.84,29.65,3890.00,135371.00,Female,<18 yrs,
Under 18 conceptions,2011,,,E12000008,South East region,26.12,25.32,26.93,4087.00,156498.00,Female,<18 yrs,
Under 18 conceptions,2011,,,E12000009,South West region,27.33,26.28,28.42,2552.00,93361.00,Female,<18 yrs,
Under 18 conceptions,2012,,,E12000001,North East region,35.51,33.79,37.29,1600.00,45060.00,Female,<18 yrs,
Under 18 conceptions,2012,,,E12000002,North West region,31.61,30.65,32.61,4020.00,127155.00,Female,<18 yrs,
Under 18 conceptions,2012,,,E12000003,Yorkshire and the Humber region,31.72,30.59,32.87,3000.00,94583.00,Female,<18 yrs,
Under 18 conceptions,2012,,,E12000004,East Midlands region,28.29,27.15,29.47,2298.00,81226.00,Female,<18 yrs,
Under 18 conceptions,2012,,,E12000005,West Midlands region,32.02,30.94,33.12,3359.00,104915.00,Female,<18 yrs,
Under 18 conceptions,2012,,,E12000006,East of England region,23.23,22.32,24.16,2467.00,106217.00,Female,<18 yrs,
Under 18 conceptions,2012,,,E12000007,London region,25.87,25.02,26.74,3504.00,135463.00,Female,<18 yrs,
Under 18 conceptions,2012,,,E12000008,South East region,23.25,22.49,24.02,3617.00,155599.00,Female,<18 yrs,
Under 18 conceptions,2012,,,E12000009,South West region,24.78,23.77,25.81,2292.00,92499.00,Female,<18 yrs,
Under 18 conceptions,2013,,,E12000001,North East region,30.56,28.96,32.22,1367.00,44732.00,Female,<18 yrs,
Under 18 conceptions,2013,,,E12000002,North West region,27.57,26.66,28.51,3473.00,125957.00,Female,<18 yrs,
Under 18 conceptions,2013,,,E12000003,Yorkshire and the Humber region,28.53,27.46,29.62,2688.00,94233.00,Female,<18 yrs,
Under 18 conceptions,2013,,,E12000004,East Midlands region,24.58,23.51,25.68,1982.00,80640.00,Female,<18 yrs,
Under 18 conceptions,2013,,,E12000005,West Midlands region,28.89,27.87,29.94,3009.00,104151.00,Female,<18 yrs,
Under 18 conceptions,2013,,,E12000006,East of England region,21.01,20.14,21.90,2217.00,105537.00,Female,<18 yrs,
Under 18 conceptions,2013,,,E12000007,London region,21.84,21.06,22.64,2962.00,135616.00,Female,<18 yrs,
Under 18 conceptions,2013,,,E12000008,South East region,20.55,19.84,21.27,3184.00,154963.00,Female,<18 yrs,
Under 18 conceptions,2013,,,E12000009,South West region,21.20,20.27,22.16,1948.00,91898.00,Female,<18 yrs,
Smoking prevalence,2010,,,E12000001,North East region,23.06,22.47,23.65,,19692.00,Persons,18+ yrs,
Smoking prevalence,2010,,,E12000002,North West region,23.02,22.61,23.42,,41611.00,Persons,18+ yrs,
Smoking prevalence,2010,,,E12000003,Yorkshire and the Humber region,23.21,22.72,23.70,,28058.00,Persons,18+ yrs,
Smoking prevalence,2010,,,E12000004,East Midlands region,21.29,20.70,21.88,,18535.00,Persons,18+ yrs,
Smoking prevalence,2010,,,E12000005,West Midlands region,20.58,20.11,21.06,,27768.00,Persons,18+ yrs,
Smoking prevalence,2010,,,E12000006,East of England region,19.62,19.12,20.12,,24356.00,Persons,18+ yrs,
Smoking prevalence,2010,,,E12000007,London region,19.44,18.99,19.88,,30150.00,Persons,18+ yrs,
Smoking prevalence,2010,,,E12000008,South East region,19.41,19.01,19.82,,36302.00,Persons,18+ yrs,
Smoking prevalence,2010,,,E12000009,South West region,19.65,19.17,20.13,,26464.00,Persons,18+ yrs,
Smoking prevalence,2011,,,E12000001,North East region,21.46,20.85,22.08,,17138.00,Persons,18+ yrs,
Smoking prevalence,2011,,,E12000002,North West region,21.97,21.53,22.41,,33886.00,Persons,18+ yrs,
Smoking prevalence,2011,,,E12000003,Yorkshire and the Humber region,22.12,21.58,22.66,,22591.00,Persons,18+ yrs,
Smoking prevalence,2011,,,E12000004,East Midlands region,20.29,19.64,20.94,,14816.00,Persons,18+ yrs,
Smoking prevalence,2011,,,E12000005,West Midlands region,20.12,19.59,20.64,,22500.00,Persons,18+ yrs,
Smoking prevalence,2011,,,E12000006,East of England region,19.98,19.41,20.55,,19020.00,Persons,18+ yrs,
Smoking prevalence,2011,,,E12000007,London region,19.48,19.00,19.96,,26293.00,Persons,18+ yrs,
Smoking prevalence,2011,,,E12000008,South East region,18.66,18.23,19.09,,32035.00,Persons,18+ yrs,
Smoking prevalence,2011,,,E12000009,South West region,19.26,18.74,19.77,,22392.00,Persons,18+ yrs,
Smoking prevalence,2012,,,E12000001,North East region,22.12,21.49,22.75,,16807.00,Persons,18+ yrs,
Smoking prevalence,2012,,,E12000002,North West region,21.55,21.09,22.01,,30888.00,Persons,18+ yrs,
Smoking prevalence,2012,,,E12000003,Yorkshire and the Humber region,22.71,22.14,23.27,,21064.00,Persons,18+ yrs,
Smoking prevalence,2012,,,E12000004,East Midlands region,19.87,19.18,20.56,,12786.00,Persons,18+ yrs,
Smoking prevalence,2012,,,E12000005,West Midlands region,18.87,18.34,19.41,,20506.00,Persons,18+ yrs,
Smoking prevalence,2012,,,E12000006,East of England region,18.73,18.13,19.33,,16107.00,Persons,18+ yrs,
Smoking prevalence,2012,,,E12000007,London region,17.97,17.48,18.46,,23689.00,Persons,18+ yrs,
Smoking prevalence,2012,,,E12000008,South East region,18.02,17.59,18.45,,30334.00,Persons,18+ yrs,
Smoking prevalence,2012,,,E12000009,South West region,18.45,17.93,18.98,,20991.00,Persons,18+ yrs,
Smoking prevalence,2013,,,E12000001,North East region,22.26,21.64,22.89,,17193.00,Persons,18+ yrs,
Smoking prevalence,2013,,,E12000002,North West region,20.07,19.63,20.51,,31615.00,Persons,18+ yrs,
Smoking prevalence,2013,,,E12000003,Yorkshire and the Humber region,20.34,19.80,20.89,,20824.00,Persons,18+ yrs,
Smoking prevalence,2013,,,E12000004,East Midlands region,19.13,18.45,19.81,,12885.00,Persons,18+ yrs,
Smoking prevalence,2013,,,E12000005,West Midlands region,17.79,17.27,18.32,,20199.00,Persons,18+ yrs,
Smoking prevalence,2013,,,E12000006,East of England region,17.45,16.87,18.03,,16583.00,Persons,18+ yrs,
Smoking prevalence,2013,,,E12000007,London region,17.33,16.86,17.81,,24466.00,Persons,18+ yrs,
Smoking prevalence,2013,,,E12000008,South East region,17.24,16.82,17.66,,30922.00,Persons,18+ yrs,
Smoking prevalence,2013,,,E12000009,South West region,17.35,16.84,17.86,,21085.00,Persons,18+ yrs,
Smoking prevalence,2014,,,E12000001,North East region,19.90,19.30,20.51,,16725.00,Persons,18+ yrs,
Smoking prevalence,2014,,,E12000002,North West region,19.87,19.42,20.33,,29748.00,Persons,18+ yrs,
Smoking prevalence,2014,,,E12000003,Yorkshire and the Humber region,20.11,19.54,20.67,,19448.00,Persons,18+ yrs,
Smoking prevalence,2014,,,E12000004,East Midlands region,18.83,18.12,19.53,,11861.00,Persons,18+ yrs,
Smoking prevalence,2014,,,E12000005,West Midlands region,16.94,16.41,17.47,,18962.00,Persons,18+ yrs,
Smoking prevalence,2014,,,E12000006,East of England region,17.88,17.27,18.48,,15338.00,Persons,18+ yrs,
Smoking prevalence,2014,,,E12000007,London region,16.99,16.50,17.48,,22918.00,Persons,18+ yrs,
Smoking prevalence,2014,,,E12000008,South East region,16.59,16.16,17.01,,29677.00,Persons,18+ yrs,
Smoking prevalence,2014,,,E12000009,South West region,16.88,16.37,17.40,,20499.00,Persons,18+ yrs,
Percentage of physically active adults,2012,,,E12000001,North East region,53.88,52.56,55.20,,5480.00,Persons,16+ yrs,
Percentage of physically active adults,2012,,,E12000002,North West region,53.49,52.77,54.21,,18359.00,Persons,16+ yrs,
Percentage of physically active adults,2012,,,E12000003,Yorkshire and the Humber region,55.27,54.27,56.26,,9543.00,Persons,16+ yrs,
Percentage of physically active adults,2012,,,E12000004,East Midlands region,56.25,55.55,56.96,,18963.00,Persons,16+ yrs,
Percentage of physically active adults,2012,,,E12000005,West Midlands region,52.39,51.56,53.21,,13977.00,Persons,16+ yrs,
Percentage of physically active adults,2012,,,E12000006,East of England region,57.11,56.46,57.76,,22223.00,Persons,16+ yrs,
Percentage of physically active adults,2012,,,E12000007,London region,57.20,56.40,57.99,,14883.00,Persons,16+ yrs,
Percentage of physically active adults,2012,,,E12000008,South East region,58.72,58.18,59.27,,31550.00,Persons,16+ yrs,
Percentage of physically active adults,2012,,,E12000009,South West region,57.48,56.73,58.22,,16934.00,Persons,16+ yrs,
Percentage of physically active adults,2013,,,E12000001,North East region,52.74,51.50,53.98,,6208.00,Persons,16+ yrs,
Percentage of physically active adults,2013,,,E12000002,North West region,53.55,52.87,54.23,,20651.00,Persons,16+ yrs,
Percentage of physically active adults,2013,,,E12000003,Yorkshire and the Humber region,55.28,54.35,56.21,,10898.00,Persons,16+ yrs,
Percentage of physically active adults,2013,,,E12000004,East Midlands region,55.91,55.23,56.59,,20395.00,Persons,16+ yrs,
Percentage of physically active adults,2013,,,E12000005,West Midlands region,53.86,53.07,54.65,,15304.00,Persons,16+ yrs,
Percentage of physically active adults,2013,,,E12000006,East of England region,57.79,57.16,58.41,,23895.00,Persons,16+ yrs,
Percentage of physically active adults,2013,,,E12000007,London region,56.24,55.48,57.00,,16542.00,Persons,16+ yrs,
Percentage of physically active adults,2013,,,E12000008,South East region,58.36,57.83,58.88,,34223.00,Persons,16+ yrs,
Percentage of physically active adults,2013,,,E12000009,South West region,58.02,57.31,58.73,,18430.00,Persons,16+ yrs,
Percentage of physically active adults,2014,,,E12000001,North East region,53.60,52.35,54.86,,6081.00,Persons,16+ yrs,
Percentage of physically active adults,2014,,,E12000002,North West region,54.16,53.50,54.82,,21844.00,Persons,16+ yrs,
Percentage of physically active adults,2014,,,E12000003,Yorkshire and the Humber region,56.08,55.13,57.03,,10575.00,Persons,16+ yrs,
Percentage of physically active adults,2014,,,E12000004,East Midlands region,57.64,56.96,58.32,,20402.00,Persons,16+ yrs,
Percentage of physically active adults,2014,,,E12000005,West Midlands region,55.46,54.67,56.25,,15309.00,Persons,16+ yrs,
Percentage of physically active adults,2014,,,E12000006,East of England region,57.77,57.15,58.40,,23934.00,Persons,16+ yrs,
Percentage of physically active adults,2014,,,E12000007,London region,57.80,57.04,58.56,,16346.00,Persons,16+ yrs,
Percentage of physically active adults,2014,,,E12000008,South East region,59.01,58.48,59.53,,34153.00,Persons,16+ yrs,
Percentage of physically active adults,2014,,,E12000009,South West region,59.44,58.73,60.15,,18338.00,Persons,16+ yrs,
Obese adults,2012 - 14,,,E12000001,North East region,26.72,26.04,27.41,,16015.00,Persons,16+ yrs,
Obese adults,2012 - 14,,,E12000002,North West region,25.01,24.64,25.37,,54136.00,Persons,16+ yrs,
Obese adults,2012 - 14,,,E12000003,Yorkshire and the Humber region,26.54,26.02,27.06,,27534.00,Persons,16+ yrs,
Obese adults,2012 - 14,,,E12000004,East Midlands region,25.54,25.17,25.91,,52909.00,Persons,16+ yrs,
Obese adults,2012 - 14,,,E12000005,West Midlands region,26.11,25.68,26.54,,39552.00,Persons,16+ yrs,
Obese adults,2012 - 14,,,E12000006,East of England region,23.96,23.63,24.30,,61721.00,Persons,16+ yrs,
Obese adults,2012 - 14,,,E12000007,London region,20.24,19.85,20.63,,40672.00,Persons,16+ yrs,
Obese adults,2012 - 14,,,E12000008,South East region,22.49,22.21,22.76,,87643.00,Persons,16+ yrs,
Obese adults,2012 - 14,,,E12000009,South West region,23.25,22.87,23.63,,47440.00,Persons,16+ yrs,
Excess weight in adults,2012 - 14,,,E12000001,North East region,68.65,67.93,69.36,,16015.00,Persons,16+ yrs,
Excess weight in adults,2012 - 14,,,E12000002,North West region,66.14,65.74,66.54,,54136.00,Persons,16+ yrs,
Excess weight in adults,2012 - 14,,,E12000003,Yorkshire and the Humber region,67.09,66.53,67.64,,27534.00,Persons,16+ yrs,
Excess weight in adults,2012 - 14,,,E12000004,East Midlands region,66.73,66.33,67.13,,52909.00,Persons,16+ yrs,
Excess weight in adults,2012 - 14,,,E12000005,West Midlands region,66.61,66.15,67.08,,39552.00,Persons,16+ yrs,
Excess weight in adults,2012 - 14,,,E12000006,East of England region,65.55,65.18,65.93,,61721.00,Persons,16+ yrs,
Excess weight in adults,2012 - 14,,,E12000007,London region,58.39,57.91,58.87,,40672.00,Persons,16+ yrs,
Excess weight in adults,2012 - 14,,,E12000008,South East region,63.39,63.07,63.70,,87643.00,Persons,16+ yrs,
Excess weight in adults,2012 - 14,,,E12000009,South West region,64.17,63.74,64.60,,47440.00,Persons,16+ yrs,
Incidence of malignant melanoma,2009 - 11,,,E12000001,North East region,16.50,15.55,17.50,1127.00,7132468.00,Persons,<75 yrs,
Incidence of malignant melanoma,2009 - 11,,,E12000002,North West region,19.57,18.92,20.22,3551.00,19445212.00,Persons,<75 yrs,
Incidence of malignant melanoma,2009 - 11,,,E12000003,Yorkshire and the Humber region,17.04,16.35,17.76,2299.00,14543842.00,Persons,<75 yrs,
Incidence of malignant melanoma,2009 - 11,,,E12000004,East Midlands region,17.82,17.06,18.60,2091.00,12451100.00,Persons,<75 yrs,
Incidence of malignant melanoma,2009 - 11,,,E12000005,West Midlands region,15.94,15.29,16.62,2255.00,15394090.00,Persons,<75 yrs,
Incidence of malignant melanoma,2009 - 11,,,E12000006,East of England region,18.92,18.23,19.63,2848.00,15959682.00,Persons,<75 yrs,
Incidence of malignant melanoma,2009 - 11,,,E12000007,London region,11.51,10.99,12.05,2018.00,22920250.00,Persons,<75 yrs,
Incidence of malignant melanoma,2009 - 11,,,E12000008,South East region,21.15,20.54,21.77,4645.00,23586403.00,Persons,<75 yrs,
Incidence of malignant melanoma,2009 - 11,,,E12000009,South West region,23.92,23.11,24.74,3373.00,14289796.00,Persons,<75 yrs,
Incidence of malignant melanoma,2010 - 12,,,E12000001,North East region,16.95,15.99,17.96,1164.00,7149156.00,Persons,<75 yrs,
Incidence of malignant melanoma,2010 - 12,,,E12000002,North West region,20.08,19.43,20.74,3673.00,19517796.00,Persons,<75 yrs,
Incidence of malignant melanoma,2010 - 12,,,E12000003,Yorkshire and the Humber region,16.55,15.87,17.25,2253.00,14617837.00,Persons,<75 yrs,
Incidence of malignant melanoma,2010 - 12,,,E12000004,East Midlands region,17.70,16.94,18.47,2096.00,12528756.00,Persons,<75 yrs,
Incidence of malignant melanoma,2010 - 12,,,E12000005,West Midlands region,16.22,15.57,16.90,2311.00,15484571.00,Persons,<75 yrs,
Incidence of malignant melanoma,2010 - 12,,,E12000006,East of England region,19.03,18.34,19.73,2894.00,16086704.00,Persons,<75 yrs,
Incidence of malignant melanoma,2010 - 12,,,E12000007,London region,11.22,10.71,11.75,2000.00,23269826.00,Persons,<75 yrs,
Incidence of malignant melanoma,2010 - 12,,,E12000008,South East region,21.72,21.10,22.34,4819.00,23783394.00,Persons,<75 yrs,
Incidence of malignant melanoma,2010 - 12,,,E12000009,South West region,25.05,24.23,25.88,3572.00,14382645.00,Persons,<75 yrs,
Hospital stays for self-harm,2012/13,,,E12000001,North East region,292.85,286.29,299.51,7705.00,2602310.00,Persons,All ages,
Hospital stays for self-harm,2012/13,,,E12000002,North West region,245.29,241.67,248.94,17766.00,7084337.00,Persons,All ages,
Hospital stays for self-harm,2012/13,,,E12000003,Yorkshire and the Humber region,202.81,199.03,206.66,11073.00,5316691.00,Persons,All ages,
Hospital stays for self-harm,2012/13,,,E12000004,East Midlands region,182.59,178.71,186.54,8484.00,4567731.00,Persons,All ages,
Hospital stays for self-harm,2012/13,,,E12000005,West Midlands region,199.79,196.13,203.50,11485.00,5642569.00,Persons,All ages,
Hospital stays for self-harm,2012/13,,,E12000006,East of England region,154.11,150.96,157.32,9122.00,5907348.00,Persons,All ages,
Hospital stays for self-harm,2012/13,,,E12000007,London region,103.16,100.94,105.41,8963.00,8308369.00,Persons,All ages,
Hospital stays for self-harm,2012/13,,,E12000008,South East region,183.04,180.21,185.90,16115.00,8724737.00,Persons,All ages,
Hospital stays for self-harm,2012/13,,,E12000009,South West region,240.08,235.90,244.32,12672.00,5339637.00,Persons,All ages,
Hospital stays for self-harm,2013/14,,,E12000001,North East region,268.19,261.92,274.58,7058.00,2610481.00,Persons,All ages,
Hospital stays for self-harm,2013/14,,,E12000002,North West region,271.38,267.58,275.23,19610.00,7103260.00,Persons,All ages,
Hospital stays for self-harm,2013/14,,,E12000003,Yorkshire and the Humber region,214.34,210.44,218.29,11679.00,5337710.00,Persons,All ages,
Hospital stays for self-harm,2013/14,,,E12000004,East Midlands region,209.22,205.07,213.43,9781.00,4598729.00,Persons,All ages,
Hospital stays for self-harm,2013/14,,,E12000005,West Midlands region,210.27,206.52,214.07,12125.00,5674712.00,Persons,All ages,
Hospital stays for self-harm,2013/14,,,E12000006,East of England region,184.40,180.95,187.90,10935.00,5954169.00,Persons,All ages,
Hospital stays for self-harm,2013/14,,,E12000007,London region,106.85,104.61,109.12,9384.00,8416535.00,Persons,All ages,
Hospital stays for self-harm,2013/14,,,E12000008,South East region,204.56,201.58,207.58,18084.00,8792626.00,Persons,All ages,
Hospital stays for self-harm,2013/14,,,E12000009,South West region,252.40,248.12,256.75,13341.00,5377595.00,Persons,All ages,
Admission episodes for alcohol-related conditions (Narrow),2008/09,,,E12000001,North East region,822.69,811.46,834.04,20740.28,2569312.00,Persons,All ages,
Admission episodes for alcohol-related conditions (Narrow),2008/09,,,E12000002,North West region,717.57,711.13,724.05,48212.61,6958547.00,Persons,All ages,
Admission episodes for alcohol-related conditions (Narrow),2008/09,,,E12000003,Yorkshire and the Humber region,613.69,606.78,620.66,30632.68,5198675.00,Persons,All ages,
